municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
NOVA PADUA,0,0,0,12,0,0,1,0,20,0,0,0,0,0,0,0
NOVA PALMA,0,0,0,40,16,0,2,0,31,3,1,1,0,0,0,0
NOVA PETROPOLIS,1,1,0,100,1,4,1,0,135,11,56,9,0,0,1,0
NOVA PRATA,3,3,0,123,3,16,8,1,207,19,66,79,0,0,6,0
NOVA RAMADA,0,0,0,7,1,1,0,0,6,3,1,0,0,0,1,0
NOVA ROMA DO SUL,0,0,0,12,2,0,1,0,23,0,13,0,0,0,0,0
NOVA SANTA RITA,5,5,0,286,14,22,31,9,340,26,49,10,0,0,6,0
NOVO BARREIRO,0,0,0,11,3,5,1,1,8,6,0,1,0,0,0,0
NOVO CABRAIS,0,0,0,23,1,1,0,0,8,5,5,2,0,0,0,0
NOVO HAMBURGO,25,26,1,2956,11,276,742,161,2158,121,300,255,1,2,35,1
NOVO MACHADO,1,1,0,15,1,1,1,0,5,4,0,0,0,0,1,0
NOVO TIRADENTES,0,0,0,9,2,1,1,0,12,1,1,1,0,0,0,0
NOVO XINGU,0,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0
OSORIO,7,8,0,537,23,27,39,17,454,27,97,175,0,0,8,0
PAIM FILHO,0,0,0,46,12,0,4,0,13,1,1,1,0,0,0,0
PALMARES DO SUL,1,1,0,174,16,4,16,0,81,10,11,14,0,0,1,0
PALMEIRA DAS MISSOES,7,7,0,326,16,23,21,7,163,37,54,16,0,0,8,0
PALMITINHO,2,2,0,34,5,3,2,0,20,5,15,2,0,0,3,0
PANAMBI,4,4,0,264,6,21,17,3,359,19,95,26,0,0,4,0
PANTANO GRANDE,0,0,0,68,7,4,1,2,64,3,7,10,0,2,2,1
PARAI,0,0,0,37,1,3,1,0,63,4,5,3,0,0,0,0
PARAISO DO SUL,0,0,0,31,0,2,1,0,15,0,1,4,0,0,0,0
PARECI NOVO,1,1,0,24,0,0,0,0,29,0,1,2,0,0,1,0
PAROBE,1,1,0,329,8,49,58,13,352,24,226,49,0,0,3,0
PASSA SETE,1,1,0,24,9,1,2,0,13,2,0,0,0,0,2,0
PASSO DO SOBRADO,1,1,0,62,15,3,6,0,15,6,8,2,0,0,1,0
PASSO FUNDO,46,48,1,2424,8,418,471,31,1834,148,331,261,1,1,53,1
PAULO BENTO,0,0,0,17,2,1,1,0,5,3,1,1,0,0,0,0
PAVERAMA,1,1,0,26,2,4,6,0,45,2,22,7,0,0,1,0
PEDRAS ALTAS,0,0,0,25,17,0,1,0,6,0,0,1,0,0,0,0
PEDRO OSORIO,1,1,0,46,6,4,6,0,37,4,7,4,0,0,1,0
PEJUCARA,0,0,0,57,2,1,4,0,24,4,3,5,0,0,0,0
PELOTAS,22,22,2,3371,63,193,1168,48,2030,114,163,367,2,2,35,1
PICADA CAFE,0,0,0,41,0,1,1,0,29,2,9,2,0,0,2,0
