municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
osorio;4313508;0;0;0;39;2;3;9;3;36;0;10;11;0;0;0
paim filho;4313607;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
palmares do sul;4313656;1;1;0;10;1;1;1;0;9;1;1;0;0;0;1
palmeira das missoes;4313706;1;1;0;28;1;0;3;0;11;3;8;1;0;0;1
palmitinho;4313805;0;0;0;1;1;0;0;0;2;2;3;0;0;0;0
panambi;4313904;0;0;0;14;0;2;4;0;35;2;5;2;0;0;0
pantano grande;4313953;0;0;0;5;1;0;0;0;3;1;0;1;0;0;0
parai;4314001;0;0;0;6;1;2;0;0;7;0;2;0;0;0;0
paraiso do sul;4314027;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0
pareci novo;4314035;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
parobe;4314050;0;0;0;26;0;2;5;2;37;3;39;5;0;0;0
passa sete;4314068;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
passo do sobrado;4314076;0;0;0;4;0;0;0;0;1;1;1;0;0;0;0
passo fundo;4314100;9;11;1;233;0;25;16;0;173;13;23;23;1;0;13
paulo bento;4314134;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
paverama;4314159;0;0;0;4;0;0;1;0;5;1;3;1;0;0;0
pedras altas;4314175;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
pedro osorio;4314209;0;0;0;3;0;0;0;0;2;1;2;1;0;0;0
pejucara;4314308;0;0;0;10;0;0;0;0;2;0;0;3;0;0;0
pelotas;4314407;3;3;0;316;4;19;131;3;193;10;19;38;0;0;5
picada cafe;4314423;0;0;0;4;0;1;0;0;2;1;1;0;0;0;0
pinhal;4314456;1;1;0;2;1;1;0;0;1;0;1;0;0;0;1
pinhal da serra;4314464;0;0;0;5;2;0;0;0;0;1;0;0;0;0;0
pinhal grande;4314472;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
pinheirinho do vale;4314498;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
pinheiro machado;4314506;0;0;0;9;1;0;0;0;7;1;1;0;0;0;0
pinto bandeira;4314548;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
